URL,Category,Series,SetName,Description,Card Count,Secret Card Count,Release Date
https://jp.pokellector.com/Hot-Air-Arena-Expansion/,Japanese Sets,Scarlet & Violet Series,Hot Air Arena,N/A,63,11,Mar 14th 2025
https://jp.pokellector.com/Battle-Partners-Expansion/,Japanese Sets,Scarlet & Violet Series,Battle Partners,The first set of the Scarlet & Violet era to include Trainer Pokemon!,100,32,Jan 24th 2025
https://jp.pokellector.com/Terastal-Festival-ex-Expansion/,Japanese Sets,Scarlet & Violet Series,Terastal Festival ex,N/A,187,50,Dec 6th 2024
https://jp.pokellector.com/Super-Electric-Breaker-Expansion/,Japanese Sets,Scarlet & Violet Series,Super Electric Breaker,N/A,106,32,Oct 18th 2024
https://jp.pokellector.com/Paradise-Dragona-Expansion/,Japanese Sets,Scarlet & Violet Series,Paradise Dragona,A subset heavily focused on Dragons,64,30,Sep 13th 2024
https://jp.pokellector.com/Stella-Miracle-Expansion/,Japanese Sets,Scarlet & Violet Series,Stella Miracle,N/A,102,33,Jul 19th 2024
https://jp.pokellector.com/Night-Wanderer-Expansion/,Japanese Sets,Scarlet & Violet Series,Night Wanderer,This set introduces the first ACE SPEC stadium card to the TCG with Neutral Center,64,30,Jun 7th 2024
https://jp.pokellector.com/Mask-of-Change-Expansion/,Japanese Sets,Scarlet & Violet Series,Mask of Change,N/A,101,32,Apr 26th 2024
https://jp.pokellector.com/Crimson-Haze-Expansion/,Japanese Sets,Scarlet & Violet Series,Crimson Haze,N/A,66,30,Mar 22nd 2024
https://jp.pokellector.com/Cyber-Judge-Expansion/,Japanese Sets,Scarlet & Violet Series,Cyber Judge,This set is the second half of Wild Force and reintroduces ACE SPEC cards into the TCG,71,29,Jan 26th 2024
https://jp.pokellector.com/Wild-Force-Expansion/,Japanese Sets,Scarlet & Violet Series,Wild Force,This set is the second half of Cyber Judge and reintroduces ACE SPEC cards into the TCG,71,29,Jan 26th 2024
