Name,Image URL,Set,Card Number,Price,Site,Release Date
Slowbro,https://den-cards.pokellector.com/384/Slowbro.PAF.117.52097.thumb.png,Paldean Fates,117,"$4.48
 $5.00",English,2024-01-26
Slowbro,https://den-cards.pokellector.com/374/Slowbro.MEW.80.49433.thumb.png,Scarlet & Violet - 151,80,"$0.01
 $0.99",English,2023-09-22
Slowbro (Reverse Holo),,Scarlet & Violet - 151,80,,English,2023-09-22
Slowbro,https://den-cards.pokellector.com/363/Slowbro.SV1EN.43.47018.thumb.png,Scarlet & Violet,43,"$0.35
 $1.10
 $0.10",English,2023-03-31
Slowbro (Reverse Holo),,Scarlet & Violet,43,,English,2023-03-31
Slowbro,https://den-cards.pokellector.com/346/Slowbro.POGO.20.44173.thumb.png,Pokemon Go,20,$0.01,English,2022-06-24
Slowbro (Reverse Holo),,Pokemon Go,20,,English,2022-06-24
Galarian Slowbro,https://den-cards.pokellector.com/305/Galarian-Slowbro.SWSH05.92.37611.thumb.png,Battle Styles,92,"$0.02
 $0.49
 $1.29",English,2021-03-19
Galarian Slowbro (Reverse Holo),,Battle Styles,92,,English,2021-03-19
Galarian Slowbro V,https://den-cards.pokellector.com/296/Galarian-Slowbro-V.SWSH3.99.35110.thumb.png,Darkness Ablaze,99,"$0.15
 $1.24
 $3.25
 $0.50",English,2020-08-14
Slowbro,https://den-cards.pokellector.com/269/Slowbro.UNB.43.28147.thumb.png,Unbroken Bonds,43,"$0.41
 $0.75
 $2.01
 $0.05
 $0.49",English,2019-05-03
Slowbro (Reverse Holo),,Unbroken Bonds,43,,English,2019-05-03
Slowbro,,Guardians Rising,49,"$0.10
 $0.35
 $0.99
 $0.30
 $0.01
 $0.21",English,2017-05-05
Slowbro (Reverse Holo),,Guardians Rising,49,,English,2017-05-05
Slowbro EX,,Evolutions,26,"$1.10
 $1.99
 $1.25
 $2.33
 $2.75
 $3.99",English,2016-11-02
M Slowbro EX,,Evolutions,27,"$6.00
 $5.59
 $10.00
 $5.69
 $9.99
 $7.99",English,2016-11-02
Slowbro Spirit Link,,Evolutions,86,"$0.01
 $0.35
 $1.00
 $0.18
 $0.50
 $0.25",English,2016-11-02
Slowbro Spirit Link (Reverse Holo),,Evolutions,86,,English,2016-11-02
Slowbro,,BREAKPoint,20,"$0.08
 $0.99
 $0.25
 $0.37
 $0.35",English,2016-02-03
Slowbro (Reverse Holo),,BREAKPoint,20,,English,2016-02-03
Slowbro,,Dark Explorers,24,"$0.34
 $0.59
 $1.34
 $0.25
 $0.49
 $0.25",English,2012-05-09
Slowbro (Reverse Holo),,Dark Explorers,24,,English,2012-05-09
Slowbro,,HS Undaunted,38,"$0.30
 $0.79
 $4.53
 $0.49
 $0.22",English,2010-08-18
Slowbro (Reverse Holo),,HS Undaunted,38,,English,2010-08-18
Slowbro,,HeartGold SoulSilver,52,"$0.19
 $0.49
 $2.22
 $0.25
 $0.22",English,2010-02-10
Slowbro (Reverse Holo),,HeartGold SoulSilver,52,,English,2010-02-10
Slowbro,,Great Encounters,54,"$0.28
 $0.79
 $2.96
 $0.69
 $0.25",English,2008-02-01
Slowbro (Reverse Holo),,Great Encounters,54,,English,2008-02-01
Slowbro,,EX Unseen Forces,13,"$11.46
 $7.99
 $9.65
 $0.99
 $5.95",English,2005-08-22
Slowbro (Reverse Holo),,EX Unseen Forces,13,,English,2005-08-22
Slowbro,,EX FireRed & LeafGreen,14,"$7.88
 $12.99
 $10.00
 $7.02
 $0.99",English,2004-08-30
Slowbro (Reverse Holo),,EX FireRed & LeafGreen,14,,English,2004-08-30
Slowbro,,Aquapolis,33,"$25.00
 $24.99
 $7.47
 $0.99
 $19.99",English,2003-01-15
Slowbro (Reverse Holo),,Aquapolis,33,,English,2003-01-15
Dark Slowbro,,Legendary Collection,8,"$19.60
 $35.99
 $22.40
 $2.49
 $13.99",English,2002-05-24
Dark Slowbro (Reverse Holo),,Legendary Collection,8,,English,2002-05-24
Light Slowbro,,Neo Destiny,51,"$7.30
 $7.99
 $3.75
 $0.35
 $9.99",English,2002-02-28
Light Slowbro (First Edition),,Neo Destiny,51,,English,2002-02-28
Sabrina's Slowbro,,Gym Heroes,60,"$2.34
 $2.79
 $9.50
 $0.35
 $5.99",English,2000-08-14
Sabrina's Slowbro (First Edition),,Gym Heroes,60,,English,2000-08-14
Slowbro,,Topps Series 2,80,,English,2000-06-01
Slowbro (Spectra Holo),,Topps Series 2,80,,English,2000-06-01
Slowbro (Sparkle Holo),,Topps Series 2,80,,English,2000-06-01
Slowbro (Tekno Holo),,Topps Series 2,80,,English,2000-06-01
Dark Slowbro,,Team Rocket,12,"$13.25
 $27.99
 $9.00
 $2.99
 $44.99",English,2000-04-24
Dark Slowbro,,Team Rocket,29,"$2.00
 $6.49
 $2.99
 $0.99
 $7.99",English,2000-04-24
Dark Slowbro (First Edition),,Team Rocket,12,,English,2000-04-24
Dark Slowbro (First Edition),,Team Rocket,29,,English,2000-04-24
Slowbro,,Fossil,43,"$0.24
 $1.09
 $2.24
 $0.49
 $4.99",English,1999-10-10
Slowbro (First Edition),,Fossil,43,,English,1999-10-10
M Slowbro EX,https://den-cards.pokellector.com/141/M-Slowbro-EX.XYP.263.thumb.png,XY Promos,263,"$25.06
 $0.48",Japanese,2013-10-12
Will's Slowbro,https://den-cards.pokellector.com/276/Wills-Slowbro.VS.72.27769.thumb.png,Pokemon VS,72,,Japanese,2001-08-19
Will's Slowbro (First Edition),,Pokemon VS,72,,Japanese,2001-08-19
Slowbro,https://den-cards.pokellector.com/375/Slowbro.SV4A.37.50998.thumb.png,Shiny Treasure ex,37,"$0.05
 $1.33",Japanese,2023-12-01
Slowbro,https://den-cards.pokellector.com/375/Slowbro.SV4A.220.51154.thumb.png,Shiny Treasure ex,220,"$1.75
 $7.71",Japanese,2023-12-01
Slowbro,https://den-cards.pokellector.com/371/Slowbro.SV2A.80.48292.thumb.png,Pokemon 151,80,"$0.05
 $0.48",Japanese,2023-06-16
Slowbro (Reverse Holo),https://den-cards.pokellector.com/371/Slowbro.SV2A.80.48475.thumb.png,Pokemon 151,80,,Japanese,2023-06-16
Slowbro (Master Ball Holo),,Pokemon 151,80,,Japanese,2023-06-16
Slowbro,https://den-cards.pokellector.com/362/Slowbro.SV1V.20.46302.thumb.png,Violet ex,20,$0.38,Japanese,2023-01-20
Slowbro,https://den-cards.pokellector.com/347/Slowbro.S10B.20.44122.thumb.png,Pokemon GO,20,"$0.01
 $0.81",Japanese,2022-06-17
Galarian Slowbro,https://den-cards.pokellector.com/337/Galarian-Slowbro.SI.252.42238.thumb.png,Start Deck 100,252,"$1.50
 $0.48",Japanese,2021-12-17
Galarian Slowbro (Reverse Holo),,Start Deck 100,252,,Japanese,2021-12-17
Galarian Slowbro,,Single Strike Master,41,"$0.15
 $0.14",Japanese,2021-01-22
Slowbro,,Full Metal Wall,12,$0.76,Japanese,2019-02-01
Slowbro,,Islands Awaiting You,24,"$0.67
 $0.48
 $0.19",Japanese,2017-03-17
Slowbro,,Rage of the Broken Sky,14,"$4.99
 $0.76
 $0.19",Japanese,2015-12-11
Slowbro EX,,XY Promos,262,"$12.95
 $0.86",Japanese,2013-10-12
Slowbro Spirit Link,,XY Promos,265,"$2,175.00
 $0.48
 $2.99",Japanese,2013-10-12
Slowbro,,Dark Rush,17,"$5.00
 $0.48
 $0.54",Japanese,2011-12-16
Slowbro,,HeartGold Collection,18,,Japanese,2009-10-09
Light Slowbro,,Darkness and to Light,54,,Japanese,2001-04-20
Sabrina's Slowbro,,Challenge from the Darkness,48,,Japanese,1999-06-25
Slowbro,,Vending Series 3 (Green),21,,Japanese,1998-11-24
Dark Slowbro,,Rocket Gang,36,,Japanese,1997-11-21
Slowbro,,Mystery of the Fossils,28,,Japanese,1997-06-21
