Name,Image URL,Set,Card Number,Price,Site,Release Date
Slowking,,Aquapolis,H22,"$4.78
 $12.99
 $27.69
 $2.39
 $3.99",English,2003-01-15
Slowking,https://den-cards.pokellector.com/407/Slowking.PRE.19.55577.thumb.png,Prismatic Evolutions,19,"$0.01
 $0.35
 $1.61",English,2025-01-17
Slowking (Reverse Holo),,Prismatic Evolutions,19,,English,2025-01-17
Slowking (Poke Ball Holo),,Prismatic Evolutions,19,,English,2025-01-17
Slowking (Master Ball Holo),,Prismatic Evolutions,19,,English,2025-01-17
Slowking,https://den-cards.pokellector.com/400/Slowking.SCR.58.54140.thumb.png,Stellar Crown,58,"$0.01
 $0.25
 $1.30",English,2024-09-13
Slowking (Reverse Holo),,Stellar Crown,58,,English,2024-09-13
Slowking ex,https://den-cards.pokellector.com/367/Slowking-ex.PAL.86.47884.thumb.png,Paldea Evolved,86,"$0.32
 $1.49
 $1.04",English,2023-06-09
Slowking ex,https://den-cards.pokellector.com/367/Slowking-ex.PAL.238.48023.thumb.png,Paldea Evolved,238,"$2.00
 $2.99
 $1.86",English,2023-06-09
Galarian Slowking,https://den-cards.pokellector.com/320/Galarian-Slowking.CRE.98.39094.thumb.png,Chilling Reign,98,"$0.08
 $0.79
 $1.49",English,2021-06-18
Galarian Slowking V,https://den-cards.pokellector.com/320/Galarian-Slowking-V.CRE.99.39095.thumb.png,Chilling Reign,99,"$0.38
 $1.40
 $1.89",English,2021-06-18
Galarian Slowking VMAX,https://den-cards.pokellector.com/320/Galarian-Slowking-VMAX.CRE.100.39096.thumb.png,Chilling Reign,100,"$0.99
 $3.83
 $2.00",English,2021-06-18
Galarian Slowking V,,Chilling Reign,178,"$2.50
 $3.89
 $3.99",English,2021-06-18
Galarian Slowking V,https://den-cards.pokellector.com/320/Galarian-Slowking-V.CRE.179.39166.thumb.png,Chilling Reign,179,"$82.75
 $49.99
 $78.01",English,2021-06-18
Slowking VMAX,https://den-cards.pokellector.com/320/Slowking-VMAX.CRE.207.39231.thumb.png,Chilling Reign,207,"$4.50
 $8.49
 $8.00",English,2021-06-18
Galarian Slowking (Reverse Holo),,Chilling Reign,98,,English,2021-06-18
Galarian Slowking (Galaxy Holo),,Chilling Reign,98,,English,2021-06-18
Slowking,https://den-cards.pokellector.com/259/Slowking.LOT.55.24637.thumb.png,Lost Thunder,55,"$0.49
 $0.59
 $1.29
 $0.05
 $0.49",English,2018-11-02
Slowking (Reverse Holo),,Lost Thunder,55,,English,2018-11-02
Slowking,https://den-cards.pokellector.com/225/Slowking.BSH.48.18429.thumb.png,Burning Shadows,48,"$0.12
 $0.49
 $1.28
 $0.02
 $0.50
 $0.33",English,2017-08-04
Slowking (Reverse Holo),,Burning Shadows,48,,English,2017-08-04
Slowking,https://den-cards.pokellector.com/183/Slowking.BPT.21.thumb.png,BREAKPoint,21,"$0.20
 $1.56
 $1.79
 $0.37
 $0.49",English,2016-02-03
Slowking (Reverse Holo),,BREAKPoint,21,,English,2016-02-03
Slowking (Non Holo),,BREAKPoint,21,,English,2016-02-03
Slowking (Galaxy Holo),,BREAKPoint,21,,English,2016-02-03
Slowking,,Dark Explorers,49,"$1.34
 $1.09
 $1.60
 $1.29
 $0.25
 $0.49",English,2012-05-09
Slowking (Reverse Holo),,Dark Explorers,49,,English,2012-05-09
Slowking,,Call of Legends,32,"$1.04
 $2.49
 $3.49
 $0.25
 $3.79",English,2011-02-09
Slowking (Reverse Holo),,Call of Legends,32,,English,2011-02-09
Slowking,,HS Undaunted,85,"$20.00
 $21.49
 $13.50
 $1.99
 $2.99",English,2010-08-18
Slowking,,HeartGold SoulSilver,12,"$5.84
 $7.79
 $5.99
 $0.99
 $1.19",English,2010-02-10
Slowking (Reverse Holo),,HeartGold SoulSilver,12,,English,2010-02-10
Slowking,,Great Encounters,28,"$0.60
 $2.49
 $2.36
 $0.25
 $1.79",English,2008-02-01
Slowking (Reverse Holo),,Great Encounters,28,,English,2008-02-01
Slowking,,EX Delta Species,28,"$1.58
 $1.79
 $10.00
 $0.25
 $2.95",English,2005-10-31
Slowking (Reverse Holo),,EX Delta Species,28,,English,2005-10-31
Slowking,,EX Unseen Forces,14,"$8.96
 $18.49
 $8.99
 $1.99
 $5.95",English,2005-08-22
Slowking (Reverse Holo),,EX Unseen Forces,14,,English,2005-08-22
Dark Slowking,,EX Team Rocket Returns,9,"$22.00
 $30.99
 $39.75
 $0.99
 $1.39",English,2004-11-01
Dark Slowking (Reverse Holo),,EX Team Rocket Returns,9,,English,2004-11-01
