Name,Image URL,Set,Card Number,Price,Site,Release Date
Slowpoke,https://den-cards.pokellector.com/407/Slowpoke.PRE.18.55576.thumb.png,Prismatic Evolutions,18,"$0.01
 $0.35
 $2.00",English,2025-01-17
Slowpoke (Reverse Holo),,Prismatic Evolutions,18,,English,2025-01-17
Slowpoke (Poke Ball Holo),,Prismatic Evolutions,18,,English,2025-01-17
Slowpoke (Master Ball Holo),,Prismatic Evolutions,18,,English,2025-01-17
Slowpoke,https://den-cards.pokellector.com/400/Slowpoke.SCR.57.54139.thumb.png,Stellar Crown,57,"$0.01
 $0.25
 $1.30",English,2024-09-13
Slowpoke (Reverse Holo),,Stellar Crown,57,,English,2024-09-13
Slowpoke,https://den-cards.pokellector.com/384/Slowpoke.PAF.116.52096.thumb.png,Paldean Fates,116,"$6.50
 $6.97",English,2024-01-26
Slowpoke,https://den-cards.pokellector.com/374/Slowpoke.MEW.79.49432.thumb.png,Scarlet & Violet - 151,79,"$0.01
 $0.99",English,2023-09-22
Slowpoke (Reverse Holo),,Scarlet & Violet - 151,79,,English,2023-09-22
Slowpoke,https://den-cards.pokellector.com/367/Slowpoke.PAL.85.47883.thumb.png,Paldea Evolved,85,"$0.01
 $0.35
 $1.79",English,2023-06-09
Slowpoke (Reverse Holo),,Paldea Evolved,85,,English,2023-06-09
Slowpoke,https://den-cards.pokellector.com/363/Slowpoke.SV1EN.42.47111.thumb.png,Scarlet & Violet,42,"$0.01
 $0.35
 $1.15
 $0.02",English,2023-03-31
Slowpoke,,Scarlet & Violet,204,"$20.00
 $15.99
 $25.00
 $3.98",English,2023-03-31
Slowpoke (Reverse Holo),,Scarlet & Violet,42,,English,2023-03-31
Slowpoke,https://den-cards.pokellector.com/346/Slowpoke.POGO.19.44172.thumb.png,Pokemon Go,19,$0.01,English,2022-06-24
Slowpoke (Reverse Holo),,Pokemon Go,19,,English,2022-06-24
Galarian Slowpoke,https://den-cards.pokellector.com/320/Galarian-Slowpoke.CRE.54.39054.thumb.png,Chilling Reign,54,"$0.01
 $0.35
 $1.10",English,2021-06-18
